cause,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
All causes,51207021,51903562,52072093,52838312,52893995,53102446,53273863,53936120,54822193,55509552,55945730,56079169,56524108,56969047,57413986
Cardiovascular diseases,14687671,15008284,15274314,15619617,15859735,16115489,16284022,16628359,17139990,17524370,17790949,18009502,18315134,18620766,18926398
Cancers,7617957,7790648,7957789,8131219,8294165,8460522,8617752,8861703,9164466,9403124,9556245,9707559,9903431,10099303,10295175
Respiratory infections and tuberculosis,4078833,4040692,3996897,3953769,3921787,3882256,3844840,3815891,3803984,3785310,3752338,3702303,3669708,3637113,3604518
Alzheimer's disease and other dementias,1719635,1790400,1863444,1943961,2025064,2098871,2168918,2253866,2353634,2440042,2514619,2587008,2667078,2747148,2827218
Digestive diseases,2061954,2089798,2111720,2135810,2158948,2181850,2205206,2242741,2288953,2335480,2377685,2382006,2412490,2442973,2473457
Neonatal disorders,2351576,2304429,2258315,2211208,2162070,2110626,2050610,1989193,1925458,1852924,1783770,1752792,1696437,1640081,1583725
Diabetes mellitus,1016711,1045381,1070186,1096402,1129959,1168569,1202743,1249135,1299556,1346428,1369849,1401514,1438207,1474901,1511594
Diarrheal diseases,1882353,1867836,1865671,1857640,1793641,1725018,1664193,1619718,1578439,1550848,1569556,1490505,1451424,1412343,1373262
Chronic kidney disease,919878,952855,986668,1019565,1052780,1082857,1112929,1147229,1185372,1216963,1230168,1274450,1306445,1338440,1370435
Road injuries,1284048,1295451,1299797,1299939,1294561,1288487,1268582,1263052,1254514,1252392,1243068,1243295,1237725,1232155,1226584
Self-harm,785136,789447,791223,796084,793978,786336,779213,781717,782941,788675,793823,786525,786270,786016,785761
Falls,546237,560477,570471,582850,596285,610148,627817,646566,667470,684520,695771,709536,724934,740332,755730
HIV/AIDS,1919733,1846162,1762778,1653324,1535582,1416899,1300347,1202193,1121362,1041798,954492,826493,725535,624577,523618
Malaria,895536,874094,831489,788445,755546,725678,710116,695008,662166,625834,619827,574239,545949,517659,489370
Interpersonal violence,403383,406817,407415,409123,405563,407886,402497,397393,399741,394941,405346,398887,398094,397301,396508
Parkinson's disease,246217,256202,266002,275884,285105,293549,300878,310499,322527,332506,340639,349923,359304,368685,378066
Drowning,356387,351865,345936,340728,334094,328374,320295,312887,307845,303335,295210,289700,283484,277268,271052
Meningitis,360585,348040,340514,331206,325000,316965,312014,306484,298712,295879,288021,278894,271992,265089,258186
Nutritional deficiencies,354626,345703,338691,341835,329818,309651,298366,289185,282498,274881,269997,257108,247910,238712,229515
Conflict and terrorism,59497,58795,67916,50608,100569,111433,115138,182240,137629,158356,129720,173973,185212,196452,207691
Alcohol use disorders,180031,179987,175053,174237,170737,169930,170965,173685,178372,181679,184934,178530,178897,179264,179631
Drug use disorders,104029,107633,110268,114269,117771,122103,129360,137889,147614,159691,166613,166586,172877,179168,185459
Maternal disorders,254824,249889,246341,242374,234088,221424,212656,206311,199531,196171,193639,182216,175355,168493,161631
Acute hepatitis,140153,139418,137790,137076,136181,134720,131795,129255,127011,126754,126391,123949,122387,120825,119263
"Fire, heat, and hot substances",131028,129844,128565,127877,126282,124807,123173,121854,121676,121392,120632,118561,117455,116350,115244
Poisonings,77620,78008,77339,77299,76228,75415,74907,74440,74395,73643,72371,72356,71814,71273,70731
Venomous animal contact,71897,72091,72309,72722,73486,73397,72725,71920,71141,71132,70948,71372,71241,71110,70978
Environmental heat and cold exposure,61451,60385,59024,115383,57402,57658,55824,55073,57740,54183,53350,52060,50320,48580,46841
Executions and police conflict,5251,5840,5152,5441,7133,5671,10295,10906,9886,12544,15959,14479,15466,16454,17442
Non-venomous animal contact,10289,10237,10161,10098,10048,10002,9958,9972,10004,10085,10126,9967,9947,9927,9907
