measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,All causes,Number,2008,51903561.50711181,52279534.92130424,51586804.42681711
Deaths,Global,Both,All Ages,HIV/AIDS,Number,2008,1846161.8942747638,1923540.4204231412,1769983.0260934874
Deaths,Global,Both,All Ages,Diarrheal diseases,Number,2008,1867835.5964303785,2465888.6192242396,1507034.991019761
Deaths,Global,Both,All Ages,Meningitis,Number,2008,348040.0838474434,386892.96092453424,310088.96732004423
Deaths,Global,Both,All Ages,Digestive diseases,Number,2008,2089797.8605704263,2177516.8311971393,2012182.739734209
Deaths,Global,Both,All Ages,Interpersonal violence,Number,2008,406817.0225768471,428655.0159474558,360776.77332898945
Deaths,Global,Both,All Ages,Environmental heat and cold exposure,Number,2008,60384.61352945238,65433.421825047895,45937.59300553075
Deaths,Global,Both,All Ages,Executions and police conflict,Number,2008,5840.349127400528,6138.700739113715,5583.065883286736
Deaths,Global,Both,All Ages,Conflict and terrorism,Number,2008,58795.08237071536,61521.11610982558,56470.390319329475
Deaths,Global,Both,All Ages,Respiratory infections and tuberculosis,Number,2008,4040691.937144591,4175505.787662019,3900930.309280296
Deaths,Global,Both,All Ages,Malaria,Number,2008,874093.8009628626,1156228.0395335958,649647.1686725484
Deaths,Global,Both,All Ages,Alzheimer's disease and other dementias,Number,2008,1790400.261398463,1810895.4382294803,1770035.11766316
Deaths,Global,Both,All Ages,Parkinson's disease,Number,2008,256201.6033047319,269024.08612313453,246776.34266165397
Deaths,Global,Both,All Ages,Maternal disorders,Number,2008,249888.64328076816,263461.65496869496,236684.75436353488
Deaths,Global,Both,All Ages,Neonatal disorders,Number,2008,2304428.675388605,2388295.0843786434,2220309.48219411
Deaths,Global,Both,All Ages,Nutritional deficiencies,Number,2008,345703.3679675914,369472.3338609525,320282.47790767194
Deaths,Global,Both,All Ages,Alcohol use disorders,Number,2008,179987.01317215964,184299.30865671596,163743.699762844
Deaths,Global,Both,All Ages,Drug use disorders,Number,2008,107632.71096957737,109476.59553948941,106151.93708548219
Deaths,Global,Both,All Ages,Eating disorders,Number,2008,279.53847296038884,311.25715570295176,263.6321638254769
Deaths,Global,Both,All Ages,Diabetes mellitus,Number,2008,1045381.3921172168,1063891.678427098,1026832.746749515
Deaths,Global,Both,All Ages,Chronic kidney disease,Number,2008,952855.2650961981,983740.9842151947,931215.4447805252
Deaths,Global,Both,All Ages,Acute hepatitis,Number,2008,139418.3016442501,156415.29973525184,100924.52795247616
Deaths,Global,Both,All Ages,Neoplasms,Number,2008,7790648.230513386,7872917.096890501,7680694.5513204625
Deaths,Global,Both,All Ages,Cardiovascular diseases,Number,2008,15008284.234172186,15217130.038251892,14835195.358102817
Deaths,Global,Both,All Ages,Road injuries,Number,2008,1295450.6388134775,1331958.5773160553,1265337.3786656652
Deaths,Global,Both,All Ages,Cardiovascular diseases,Number,2007,14687670.808399944,14908825.788125426,14523642.809311017
Deaths,Global,Both,All Ages,Road injuries,Number,2007,1284048.3602580943,1321353.6580631048,1254573.744201129
Deaths,Global,Both,All Ages,Falls,Number,2007,546237.4736024529,564981.6111900542,493107.49274920276
Deaths,Global,Both,All Ages,Drowning,Number,2007,356387.4263025359,370604.7274822086,339446.1124644587
