cause,year,val
Nutritional deficiencies,2008,345703.368
Non-communicable diseases,2008,34181502.33
Neoplasms,2008,7790648.231
Musculoskeletal disorders,2008,95443.69118
All causes,2008,51903561.51
"Communicable, maternal, neonatal, and nutritional diseases",2008,13087344.59
Other non-communicable diseases,2008,1148074.234
Skin and subcutaneous diseases,2008,72697.18919
Injuries,2008,4634714.595
Transport injuries,2008,1389977.626
Digestive diseases,2008,2089797.861
Interpersonal violence,2008,406817.0226
Neglected tropical diseases and malaria,2008,989281.9222
Neurological disorders,2008,2261061.732
Cardiovascular diseases,2008,15008284.23
Executions and police conflict,2008,5840.349127
Conflict and terrorism,2008,58795.08237
HIV/AIDS and sexually transmitted infections,2008,1977530.605
Respiratory infections and tuberculosis,2008,4040691.937
Typhoid and paratyphoid,2008,172091.105
Mental disorders,2008,279.538473
Other infectious diseases,2008,1067731.334
Maternal and neonatal disorders,2008,2554317.319
Substance use disorders,2008,287619.7241
Unintentional injuries,2008,1983837.507
Falls,2008,560476.7534
Drowning,2008,351864.6643
"Fire, heat, and hot substances",2008,129844.0875
Poisonings,2008,78008.09911
Poisoning by carbon monoxide,2008,40161.27412
Poisoning by other means,2008,37846.82499
Venomous animal contact,2008,72091.26615
Non-venomous animal contact,2008,10237.11121
Self-harm and interpersonal violence,2008,1260899.461
Self-harm,2008,789447.0071
Nutritional deficiencies,2007,354626.136
Digestive diseases,2007,2061953.864
Interpersonal violence,2007,403383.4172
Executions and police conflict,2007,5250.817451
Non-communicable diseases,2007,33463024.84
Neoplasms,2007,7617957.092
Musculoskeletal disorders,2007,92654.0601
Other non-communicable diseases,2007,1143767.176
Cardiovascular diseases,2007,14687670.81
Unintentional injuries,2007,1753691.344
Falls,2007,546237.4736
Drowning,2007,356387.4263
"Fire, heat, and hot substances",2007,131027.6267
Poisonings,2007,77620.00085
Poisoning by carbon monoxide,2007,40554.0588
Poisoning by other means,2007,37065.94205
Skin and subcutaneous diseases,2007,70493.85252
Injuries,2007,4384314.479
Transport injuries,2007,1377356.116
Conflict and terrorism,2007,59496.88123
HIV/AIDS and sexually transmitted infections,2007,2053191.228
Respiratory infections and tuberculosis,2007,4078832.67
Typhoid and paratyphoid,2007,174918.2808
Venomous animal contact,2007,71897.33631
Non-venomous animal contact,2007,10289.22053
Self-harm and interpersonal violence,2007,1253267.019
Self-harm,2007,785135.9029
All causes,2007,51207020.58
"Communicable, maternal, neonatal, and nutritional diseases",2007,13359681.26
All causes,2011,52893995.08
"Communicable, maternal, neonatal, and nutritional diseases",2011,12190072.39
Nutritional deficiencies,2011,329818.0685
Non-communicable diseases,2011,36216224.38
Neoplasms,2011,8294164.774
Neglected tropical diseases and malaria,2011,864628.7407
Neurological disorders,2011,2532539.778
Neglected tropical diseases and malaria,2007,1014607.552
Musculoskeletal disorders,2011,102250.7862
Other non-communicable diseases,2011,1156308.614
Skin and subcutaneous diseases,2011,79245.6585
Injuries,2011,4487698.312
Transport injuries,2011,1389931.241
Neurological disorders,2007,2176960.7
Mental disorders,2007,272.3423288
Mental disorders,2011,296.0417836
Other infectious diseases,2011,990711.0738
Maternal and neonatal disorders,2011,2396158.668
Cardiovascular diseases,2011,15859735.27
Substance use disorders,2011,288507.4946
Other infectious diseases,2007,1120430.826
Maternal and neonatal disorders,2007,2606400.529
Substance use disorders,2007,284060.0041
Unintentional injuries,2011,1790524.426
Falls,2011,596284.8911
Drowning,2011,334093.5276
"Fire, heat, and hot substances",2011,126281.9753
Poisonings,2011,76227.68207
Poisoning by carbon monoxide,2011,37303.6871
Poisoning by other means,2011,38923.99497
Venomous animal contact,2011,73486.47581
Non-venomous animal contact,2011,10048.14904
Self-harm and interpersonal violence,2011,1307242.645
Self-harm,2011,793977.9061
Digestive diseases,2011,2158948.212
Interpersonal violence,2011,405563.4643
Executions and police conflict,2011,7132.66294
Conflict and terrorism,2011,100568.6116
HIV/AIDS and sexually transmitted infections,2011,1661939.826
Respiratory infections and tuberculosis,2011,3921787.196
Typhoid and paratyphoid,2011,163217.8437
Cardiovascular diseases,2010,15619617.48
Unintentional injuries,2010,2062101.933
Falls,2010,582849.7635
Drowning,2010,340727.7205
"Fire, heat, and hot substances",2010,127876.5892
Poisonings,2010,77298.90292
Poisoning by carbon monoxide,2010,38394.58011
Poisoning by other means,2010,38904.32281
Venomous animal contact,2010,72722.22093
Non-venomous animal contact,2010,10097.95839
Self-harm and interpersonal violence,2010,1261256.393
Self-harm,2010,796083.6452
All causes,2010,52838311.51
"Communicable, maternal, neonatal, and nutritional diseases",2010,12528020.17
Neglected tropical diseases and malaria,2010,897979.5573
Neurological disorders,2010,2439689.89
Mental disorders,2010,290.5815343
Other infectious diseases,2010,1006969.456
Maternal and neonatal disorders,2010,2453582.206
Substance use disorders,2010,288506.3784
Digestive diseases,2010,2135809.687
Interpersonal violence,2010,409123.0474
Executions and police conflict,2010,5441.427153
Conflict and terrorism,2010,50608.2737
HIV/AIDS and sexually transmitted infections,2010,1780329.924
Respiratory infections and tuberculosis,2010,3953769.18
Typhoid and paratyphoid,2010,166305.0987
Nutritional deficiencies,2010,341835.0277
Non-communicable diseases,2010,35592215.83
Neoplasms,2010,8131218.535
Musculoskeletal disorders,2010,99995.26327
Other non-communicable diseases,2010,1151617.095
Skin and subcutaneous diseases,2010,77056.54693
Injuries,2010,4718075.506
Transport injuries,2010,1394717.18
Cardiovascular diseases,2009,15274314.39
Unintentional injuries,2009,1758553.125
Falls,2009,570470.837
Drowning,2009,345936.3515
"Fire, heat, and hot substances",2009,128564.7961
Poisonings,2009,77339.49105
Poisoning by carbon monoxide,2009,38911.97048
Poisoning by other means,2009,38427.52057
Venomous animal contact,2009,72308.71371
Non-venomous animal contact,2009,10160.79101
Self-harm and interpersonal violence,2009,1271706.585
Self-harm,2009,791222.7576
Nutritional deficiencies,2009,338690.9815
Non-communicable diseases,2009,34835484.7
Neoplasms,2009,7957788.815
Musculoskeletal disorders,2009,97638.81799
Other non-communicable diseases,2009,1150167.951
Skin and subcutaneous diseases,2009,74820.47377
Injuries,2009,4425398.951
